# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	1407
#@/user_id	c35ff326-3a48-4b0a-bf55-c5625a9363c2
ai 	唉	c=1 d=1 t=55
jin tian 	今天	c=0 d=0.1 t=927
jin tian shen me 	今天什麼	c=1 d=1 t=928
jing hua 	淨化	c=0 d=0.1 t=104
jing shen 	精神	c=1 d=1 t=153
jing tai 	靜態	c=3 d=2.27855 t=1381
jiong fa 	窘乏	c=1 d=1 t=890
jiu 	就	c=13 d=1.73438 t=1407
jiu hui 	就會	c=1 d=1 t=284
jiu shi 	就是	c=3 d=1.01119 t=1216
jiu shi zhe yang 	就是這樣	c=1 d=1 t=318
ju 	舉	c=1 d=1 t=84
jue de 	覺得	c=1 d=0.918731 t=311
jue de zen me yang 	覺得怎麼樣	c=1 d=1 t=312
jue xing 	覺醒	c=1 d=1 t=120
kai 	開	c=2 d=1.70004 t=1407
kai fa 	開發	c=2 d=1.98511 t=708
kai fa zhe 	開發者	c=0 d=0.1 t=712
kai fa zhe gong ju 	開發者工具	c=1 d=1 t=713
kai ji 	開機	c=3 d=1.01823 t=1300
kai shi 	開始	c=2 d=1.01434 t=1124
kan 	看	c=1 d=1 t=322
kan dao 	看到	c=1 d=1 t=489
kan kan 	看看	c=2 d=1.06111 t=658
kao 	靠	c=11 d=9.27904 t=1407
kao kao 	考考	c=4 d=0.873716 t=1407
kao lv 	考慮	c=1 d=1 t=1109
ke 	科	c=1 d=1 t=759
ke lu 	刻錄	c=3 d=2.8466 t=1149
ke neng 	可能	c=1 d=1 t=342
ke neng hui 	可能會	c=0 d=0.1 t=88
ke shi 	可是	c=1 d=1 t=274
ke xin 	可信	c=0 d=0.1 t=1361
ke yi 	刻意	c=2 d=1.98511 t=540
ke yi 	可以	c=8 d=1.29336 t=1407
ke yi 	可疑	c=1 d=1 t=538
ke yi shi yong 	可以使用	c=1 d=1 t=1078
keng 	坑	c=1 d=1 t=978
kong ge 	空格	c=1 d=0.36982 t=503
kong jian 	空間	c=1 d=1 t=1028
kong ju 	恐懼	c=1 d=1 t=401
kuai 	快	c=1 d=1 t=1226
kuai jie jian 	快捷鍵	c=3 d=2.63896 t=662
kuai su 	快速	c=1 d=1 t=957
kuang ken kuang ken 	狂肯狂肯	c=1 d=1 t=681
kun nan 	困難	c=3 d=2.22028 t=303
kuo zhan 	擴展	c=8 d=2.40088 t=1319
lai 	來	c=1 d=1 t=283
lai zi yu 	來自於	c=1 d=1 t=222
lan duo 	懶惰	c=1 d=1 t=87
lang 	狼	c=2 d=0.941765 t=1407
lang fei shi jian 	浪費時間	c=1 d=1 t=178
le 	了	c=4 d=2.76803 t=420
lei 	類	c=1 d=1 t=1076
lei si 	類似	c=1 d=1 t=936
lei xin 	累心	c=0 d=0.1 t=65
li 	立	c=1 d=1 t=767
li 	裏	c=1 d=1 t=394
li cai 	理財	c=1 d=1 t=751
li shi 	歷史	c=2 d=1.98511 t=1098
li xian 	離線	c=0 d=0.1 t=1155
li xian an zhuang 	離線安裝	c=1 d=1 t=1156
li yong 	利用	c=1 d=1 t=173
lian 	連	c=2 d=1.58567 t=1253
lian jie 	連接	c=5 d=3.91575 t=1299
lian xi 	練習	c=1 d=1 t=329
liang 	亮	c=1 d=1 t=717
liao dang 	了當	c=1 d=1 t=130
liu 	流	c=1 d=1 t=433
liu lan qi 	瀏覽器	c=3 d=1.40408 t=944
long gang 	龍崗	c=2 d=1.05105 t=1351
lu jing 	路徑	c=4 d=1.4445 t=1213
luan ma 	亂碼	c=4 d=2.54511 t=982
luo hu 	羅湖	c=1 d=1 t=1344
luo ji 	邏輯	c=1 d=1.09139 t=1140
luo ji fen qu 	邏輯分區	c=1 d=1 t=1123
lv cheng 	旅程	c=1 d=1.19168 t=73
lv se 	綠色	c=1 d=1 t=851
lv se ban 	綠色版	c=3 d=2.5346 t=660
ma 	嗎	c=1 d=1 t=366
ma 	碼	c=1 d=1 t=50
ma ke 	馬克	c=1 d=1 t=585
man 	慢	c=1 d=1 t=803
mei 	每	c=1 d=1.0657 t=200
mei ge ren 	每個人	c=2 d=1.85642 t=144
mei hua 	美化	c=1 d=1 t=1360
mei ju 	美劇	c=1 d=1 t=512
mei nv 	美女	c=1 d=1 t=970
mei yi ke 	每一刻	c=1 d=1 t=117
mei you 	沒有	c=3 d=1.2221 t=1246
mei you ren 	沒有人	c=0 d=0.1 t=109
mei you ren ke yi 	沒有人可以	c=1 d=1 t=110
mei you zhao dao 	沒有找到	c=0 d=0.1 t=626
mei you zhao dao zhi chi 	沒有找到支持	c=1 d=1 t=627
mei yuan 	美元	c=1 d=1 t=985
men 	們	c=0 d=0.1 t=110
